CaseID,Title,Location,City,State,Latitude,Longitude,CF,CI,Number of Enforcement Fatalities,Number of Enforcement Injured,Total Number of Fatalities,Total Number of Victims,Description,Date,Day of Week,Date - Detailed,Shooter Name,Number of shooters,Shooter Age(s),Average Shooter Age,Shooter Sex,Shooter Race,Type of Gun - Detailed,Type of Gun - General,Number of Shotguns,Number of Rifles,Number of Handguns,Total Number of Guns,Number of Automatic Guns,Number of Semi-Automatic Guns,Fate of Shooter at the scene,Fate of Shooter,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s - Detailed,Targeted Victim/s - General,Possible Motive - Detailed,Possible Motive - General,History of Mental Illness - Detailed,History of Mental Illness - General
52,Wickliffe Middle School,"Wickliffe, Ohio",Wickliffe,Ohio,41.60713735,-81.46902046,1,3,0,0,1,4,"On November 7, 1994, a 37-year-old man approached the Wickliffe Middle School in Wickliffe, Ohio and shot, killing a custodian. He then wounded a school administrator, a teacher and a police officer before being detained by the police.",11/7/94,Monday,"Monday, November 07, 1994",Keith A. Ledeger,1,37,37,Male,White American or European American,12-gauge shotgun,Shotgun,1,0,0,1,0,0,Custody,Custody,Not applicable,Yes,Primary school,Place of schooling,"School employees, including custodian, administrator and a teacher",Students/Classmates/Teacher,The shooter had been diagnosed with paranoid schizophrenia before the incident.,Mental illness,"The shooter had a lengthy history of paranoid schizophrenia and claimed to be legally insane during shooting spree. The judge ruled him mentally competent to stand trial, he then withdrew his not guilty by reason of insanity plea.",Yes
53,Downtown Chapel Hill,"Chapel Hill, North Carolina",Chapel Hill,North Carolina,35.92681467,-79.03850407,2,2,0,0,2,4,"On January 26, 1995, a 26-year-old mentally ill law student in Chapel Hill, North Carolina, was permitted to take unsupervised off-campus trips outside his mental hospital. During this particular trip, he opened fire on passersby, killing two and wounding two others before being arrested. He was found not guilty by reason of insanity and later won a lawsuit against a psychiatrist.",1/26/95,Thursday,"Thursday, January 26, 1995",Wendell Justin Williamson,1,26,26,Male,White American or European American,M-1 Garand semi-automatic rifle,Rifle,0,1,0,1,0,1,Custody,Custody,Not applicable,No,Street/Highway,Place of residency,"Restaurant manager, students, police officer",General public,The shooter had been suffering from schizophrenia before the incident.,Mental illness,"The shooter was diagnosed with psychosis and ""delusional disorder grandiose"" and was found not guilty by reason of insanity on account that he suffered from paranoid schizophrenia. He believed he was saving the world with his random killings and was later placed in a state psychiatric ward.",Yes
54,Montclair Post Office,"Montclair, New Jersey",Montclair,New Jersey,40.826184,-74.20862,4,1,0,0,4,5,"On March 21, 1995, a 29-year-old former postal laborer entered a post office in Montclair, New Jersey, and robbed the employees at gunpoint. He then killed two postal workers, two customers and wounded another man before fleeing the scene. He was later arrested in his apartment.",3/21/95,Tuesday,"Tuesday, March 21, 1995",Christopher Green,1,29,29,Male,White American or European American,9mm Taurus handgun,Handgun,0,0,1,1,0,1,Escaped,Custody,Not applicable,No,Government facility,Place of business/employment,"Postal employees, customers",Colleague/Workmate/Business acquaintance,The shooter planned to rob the post office because he was in debt and behind on rent. He shot his victims to avoid leaving eye-witnesses.,Robbery,None,No
55,Walter Rossler Company,"Corpus Christi, Texas",Corpus Christi,Texas,27.73907518,-97.43073352,5,0,0,0,6,5,"On April 3, 1995, a disgruntled former metallurgist of the Walter Rossler Company in Corpus Christi, Texas entered the office and began shooting. He killed three employees, the owner and his wife before killing himself in another room.",4/3/95,Monday,"Monday, April 03, 1995",James Daniel Simpson,1,28,28,Male,Unknown,"9mm Ruger semi-automatic pistol, .32 caliber revolver",Handgun,0,0,2,2,0,1,Deceased,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Former employee,Colleague/Workmate/Business acquaintance,"Eight months prior to the incident, the shooter had resigned from his position with the Rossler Company due to his dissatisfaction with work assignments.",Terminated/Denied/Reprimanded,"Although no records were found indicating the shooter suffered from mental illness, he was thought to be paranoid and depressed before the incident occurred.",No
56,Richland High School,"Lynnville, Tennessee",Lynnville,Tennessee,35.37810374,-87.00610559,2,1,0,0,2,3,"On November 15, 1995, a 17-year-old students at Richland High School in Lynnville, Tennessee arrived to school and began shooting. He killed a teacher, a student and wounded another teacher before the gun was wrestled away from him by another teacher.",11/15/95,Wednesday,"Wednesday, November 15, 1995","James Ellison ""Jamie"" Rouse",1,17,17,Male,White American or European American,Remington Viper .22 caliber semi-automatic rifle,Rifle,0,1,0,1,0,1,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,"Teachers, students",Students/Classmates/Teacher,"The shooter apparently had conflicts with a student, several teachers and a patrol officer that gave him a ticket, and was seeking to kill them and ""anyone who gets in the way"" during the incident.",Multiple motives,"Although the shooter was not undergoing psychological treatment, his parents testified that his family had a history of mental illness, with his brother committing suicide, his father having undergone several addictions and the shooter himself having suicidal thoughts, tendencies and a violent disposition.",Yes
57,Frontier Junior High School,"Moses Lake, Washington",Moses Lake,Washington,47.12189424,-119.2750699,3,1,0,0,3,4,"On February 2, 1996, a 14-year-old student walked into his algebra class at Frontier Junior High School in Moses Lake, Washington shooting and killing his teacher before killing two students, one who had bullied him, and wounding another student in the arm. He then held the class hostage and was tackled and held by a teacher until he was apprehended by police.",2/2/96,Friday,"Friday, February 02, 1996",Barry Dale Loukaitis,1,14,14,Male,White American or European American,".30-30 lever-action hunting rifle, .357 caliber revolver, .25 caliber semi-automatic pistol",Multiple guns,0,1,2,3,0,1,Custody,Custody,Not applicable,Yes,Primary school,Place of schooling,"Teacher, students",Students/Classmates/Teacher,"The shooter was apparently being bullied by students, one of which he ended up killing. He also was inspired by the Stephen King novel, Rage, quoting the book during the incident. Multiple motives- Harassment and Mental illness",Multiple motives,"The shooter and the shooter's family suffered from generations of clinical depression. His mother, after finding his father was having an affair, told the shooter that she and the shooter were to commit a double-suicide together on Valentine's Day, not two weeks after the incident.",Yes
58,Fort Lauderdale City Parks Office,"Fort Lauderdale, Florida",Fort Lauderdale,Florida,26.11737018,-80.14865708,6,0,0,0,7,6,"On February 9, 1996, a fired maintenance worker in Fort Lauderdale, Florida arrived at his former workplace and began shooting his ex-coworkers, killing five and wounding another before killing himself. The wounded victim later died of his injuries. He was dismissed from the position due to obscene behavior toward park visitors and for failing a drug test, though he attributed his termination to his supervisors' racism.",2/9/96,Friday,"Friday, February 09, 1996",Clifton McCree,1,41,41,Male,Black American or African American,9mm Glock semi-automatic,Handgun,0,0,1,1,0,1,Deceased,Deceased,Suicide,No,Government facility,Place of business/employment,Former coworkers and supervisors,Colleague/Workmate/Business acquaintance,"The shooter had been terminated from his position before the shooting, and sought revenge on his supervisors, claiming that their decision was based on his race.",Terminated/Denied/Reprimanded,"Although no records were found indicating the shooter received treatment or diagnosis of mental illness, he had suffered an immensely traumatic childhood and, in the months before the incident, was undergoing severe depression as he began to lose his family to an extramarital affair.",No
59,San Diego State University,"San Diego, California",San Diego,California,32.86357277,-117.1281628,3,0,0,0,3,3,"On August 15, 1996, a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.",8/15/96,Thursday,"Thursday, August 15, 1996",Frederick Martin Davidson,1,36,36,Male,White American or European American,9mm semi-automatic handgun,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of schooling,Graduate advisor and professors,Students/Classmates/Teacher,"The shooter had failed to defend his master's thesis and was scheduled to defend it a second time. Blaming his advisors for his lack of employment, he sought revenge to compensate for his failures.",Failure,None,No
60,Bethel Regional High School,"Bethel, Alaska",Bethel,Alaska,60.79053882,-161.7927517,2,2,0,0,2,4,"On February 19, 1997, a 16-year-old student at Bethel Regional High School in Bethel, Alaska arrived on campus and shot a popular student, killing him. He later shot and killed the school's principal and wounded two others before being arrested.",2/19/97,Wednesday,"Wednesday, February 19, 1997",Evan Ramsey,1,16,16,Male,White American or European American,Mossberg 500 12-gauge shotgun,Shotgun,1,0,0,1,0,0,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,"Student, principal",Students/Classmates/Teacher,The shooter had been bullied by other students for being less intelligent than his peers.,Harassment,"The shooter's family had a long history of issues, with his father imprisoned for an armed stand-off at a newspaper office, being released after eleven years just two weeks before the shooting. His mother was an alcoholic and the shooter was placed in foster care for a period, where he experienced severe abuse from other foster children. The shooter had been contemplating and attempted suicide since the age of ten. ",Yes
61,R.E. Phelon Company,"Aiken, South Carolina",Aiken,South Carolina,33.47524551,-81.72595949,4,3,0,0,4,7,"On September 15, 1997, a 43-year-old former employee of the R.E. Phelon Company in Aiken, South Carolina arrived at the plant and shot the security guard in the parking lot. He then entered the facility and began shooting his former coworkers, killing four and wounding two others. He attempted suicide with insecticide, but was unsuccessful and eventually arrested.",9/15/97,Monday,"Monday, September 15, 1997",Hastings Arthur Wise,1,43,43,Male,Black American or African American,9mm semi-automatic pistol,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,No,Company/Factory/Office,Place of business/employment,Former coworkers,Colleague/Workmate/Business acquaintance,The shooter had been fired from his position due to a confrontation with a supervisor. Each of his victims either had a hand in his termination or held positions that he coveted.,Terminated/Denied/Reprimanded,None,No
62,Pearl High School,"Pearl, Mississippi",Pearl,Mississippi,32.27492783,-90.09470655,2,7,0,0,2,9,"On October 1, 1997, a 16-year-old student of Pearl High School in Pearl, Mississippi stabbed his mother to death before heading to school. Once there, he shot and killed his ex-girlfriend and her friend before wounding an additional seven other students. He was stopped while fleeing the incident by a principal with a handgun and was arrested.",10/1/97,Wednesday,"Wednesday, October 01, 1997",Luke Woodham,1,16,16,Male,White American or European American,Marlin Model 336 .30-30 caliber rifle,Rifle,0,1,0,1,0,0,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,"Ex-girlfriend, students",Students/Classmates/Teacher,The shooter was seeking revenge on his ex-girlfriend who had apparently been making fun of him behind his back.,Social dispute,The shooter was declared to be legally insane during his trial.,Yes
63,Heath High School,"West Paducah, Kentucky",West Paducah,Kentucky,37.08506,-88.74422,3,5,0,0,3,8,"On December 1, 1997, a 14-year-old student at Heath High School in West Paducah, Kentucky brought stolen guns to campus and began shooting at a prayer group that met every day, killing three students and wounding five others before being arrested. The shooter was later found to have been suffering from paranoid schizophrenia.",12/1/97,Monday,"Monday, December 01, 1997",Michael Carneal,1,14,14,Male,White American or European American,".22 caliber long rifle, 12 gauge pump-action shotgun, Ruger MK II.22 caliber pistol",Multiple guns,1,1,1,3,0,1,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,Students,Students/Classmates/Teacher,The shooter was later found to have been suffering from paranoid schizophrenia at the time of the shooting.,Mental illness,The shooter had been suffering from psychosis and paranoid schizophrenia.,Yes
64,Milwaukee Post Office,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,43.06420322,-87.96724385,1,2,0,0,2,3,"On December 19, 1997, a 37-year-old postal worker in Milwaukee, Wisconsin began shooting at the post office where he was employed. He shot and killed a coworker and wounded his supervisor and another coworker before committing suicide.",12/19/97,Thursday,"Friday, December 19, 1997",Anthony DeCulit,1,37,37,Male,Black American or African American,9mm handgun,Handgun,0,0,1,1,0,1,Deceased,Deceased,Suicide,No,Government facility,Place of business/employment,"Supervisors, postal workers",Colleague/Workmate/Business acquaintance,The shooter was disgruntled over an apparent complaint written about his falling asleep on the job. There was also an indication that the attack was racially motivated as there had been a large number of complaints about Caucasian supervisors demoting or reporting black employees for insignificant faults. Multiple motives - Terminated/Denied/Reprimanded and Race,Multiple motives,None,No
65,Caltrans Maintenance Yard,"Orange, California",Orange,California,33.78935598,-117.820412,4,1,0,1,5,6,"On December 18, 1997, a 41-year-old recently fired Caltrans employee arrived to his former office and began shooting at his former coworkers and supervisors. He killed four employees and wounded another and a police officer before being killed by police.",12/18/97,Thursday,"Thursday, December 18, 1997",Arturo Reyes Torres,1,41,41,Male,Some other race,Chinese-made AK-47-type 7.62mm semi-automatic assault rifle,Rifle,0,1,0,1,0,1,Deceased,Deceased,Killed,No,Company/Factory/Office,Place of business/employment,"Supervisors, coworkers",Colleague/Workmate/Business acquaintance,The shooter had been fired from Caltrans after stealing scrap metal and was unable to obtain employment thereafter due to his failing background checks that revealed his history of workplace theft.,Terminated/Denied/Reprimanded,None,No
66,Connecticut State Lottery Headquarters,"Newington, Connecticut",Newington,Connecticut,41.68700845,-72.73083927,4,0,0,0,5,4,"On March 6, 1998, a 35-year-old disgruntled employee of the State Lottery in Newington, Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide.",3/6/98,Friday,"Friday, March 06, 1998",Matthew Beck,1,35,35,Male,White American or European American,9mm Glock semi-automatic pistol equipped with a 19-round large capacity ammunition magazine,Handgun,0,0,1,1,0,1,Deceased,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,"Supervisors, coworkers",Colleague/Workmate/Business acquaintance,The shooter had apparently been disgruntled with his supervisors in regards to a salary dispute after being denied a promotion.,Terminated/Denied/Reprimanded,The shooter had a long history of suffering from depression and had attempted suicide several times before the incident. He had been prescribed anti-depressants over a year before the shooting occurred.,Yes
68,Parker Middle School Dance,"Edinboro, Pennsylvania",Edinboro,Pennsylvania,41.87617136,-80.12459632,1,3,0,0,1,4,"On April 24, 1998, a 14-year-old student of Park Middle School in Edinboro, Pennsylvania was attending the end-of-the-year dance at an off-campus banquet hall. The student pulled his father's gun from a pocket and began shooting, killing a teacher and wounding another and two students before being arrested.",4/24/98,Friday,"Friday, April 24, 1998",Andrew Jerome Wurst,1,14,14,Male,White American or European American,.25 caliber semi-automatic pistol,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,Yes,Restaurant/Cafe?,Place of recreation,"Students, teachers",Students/Classmates/Teacher,The shooter had been suffering from delusions and schizophrenic tendencies prior to the incident that were confirmed after the shooter's incarceration.,Mental illness,"After being examined by a nationally reputed forensic psychiatrist, it was concluded he suffers from ""a major mental illness, with psychotic thinking and delusions of persecution and grandeur"" and in need of long-term in-patient treatment with medication, although a psychiatrist of the state deemed him competent to stand trial and ineligible for an insanity plea.",Yes
69,Thurston High School,"Springfield, Oregon",Springfield,Oregon,44.05489698,-123.0075562,4,25,0,0,4,29,"On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.",5/21/98,Thursday,"Thursday, May 21, 1998","Kipland Philip ""Kip"" Kinkel",1,15,15,Male,White American or European American,"9mm Glock 19 pistol, Ruger .22 caliber semi-automatic rifle, .22 caliber Ruger MK II pistol",Multiple guns,0,1,2,3,0,1,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,Students,Students/Classmates/Teacher,The shooter had been suspended and his expulsion was pending the day he killed his parents due to his purchase of a stolen firearm on school grounds. He was later found to have been suffering from an early onset schizophrenia.,Mental illness,"The shooter was found to have been suffering from paranoid delusions and early schizophrenic tendencies after the incident occurred that the shooter claimed to have started roughly three years prior to the shooting. He was, however, found to be fit to stand trial and his lawyers did not pursue a plea of insanity although the shooter later tried to appeal the decision and for a retrial. ",Yes
70,Riverside City Hall,"Riverside, California",Riverside,California,33.93814348,-117.3948409,0,3,0,3,0,6,"On October 6, 1998, a 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.",10/6/98,Tuesday,"Tuesday, October 06, 1998","Joseph Neale, Jr.",1,48,48,Male,Black American or African American,9mm handgun,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,No,Government facility,Local government,"Mayor, council members, police officers",Government,The shooter had lost his job as a part-time chess coach and felt that he had been wrongfully terminated due to racial prejudice.,Terminated/Denied/Reprimanded,None,No
72,Heritage High School,"Conyers, Georgia",Conyers,Georgia,33.66086267,-84.02688527,0,6,0,0,0,6,"On May 20. 1999, a 15-year-old student of Heritage High School in Conyers, Georgia arrived on campus and began shooting his fellow students as he was upset over a breakup with his girlfriend. He non-fatally wounded six students before being arrested.",5/20/99,Thursday,"Thursday, May 20, 1999","Thomas ""TJ"" Solomon, Jr.",1,15,15,Male,White American or European American,.22 caliber rifle and 357-handgun,Multiple guns,0,1,1,2,0,1,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,Students,Students/Classmates/Teacher,The shooter was upset over a recent breakup with his girlfriend.,Rejection,None,No
73,Offices of All-Tech Investment Group and Momentum Securities,"Atlanta, Georgia",Atlanta,Georgia,33.7629969,-84.4231328,9,12,0,0,10,21,"On July 29, 1999, after murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station. ",7/29/99,Thursday,"Thursday, July 29, 1999",Mark Orrin Barton,1,44,44,Male,White American or European American,".45 caliber Colt 1911A1 semi-automatic pistol, 9mm Glock 17 semi-automatic pistol, .22 caliber H&R revolver, Raven MP-25 semi-automatic pistol",Handgun,0,0,4,4,0,3,Deceased,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Stock brokers,Colleague/Workmate/Business acquaintance,The shooter had recently lost a large sum of money through the stock exchange and was targeting those who he felt were responsible for his demise.,Financial dispute,"Although the shooter had never sought treatment for mental illness, five years before the incident, the shooter was evaluated by a psychologist during a custody hearing and was found to be ""capable of homicide"" among other things",Yes
74,Wedgwood Baptist Church,"Fort Worth, Texas",Fort Worth,Texas,32.74802142,-97.31305148,7,7,0,0,8,14,"On September 15,1999, a 47-year-old man entered the Wedgwood Baptist Church in Fort Worth, Texas during a prayer rally and began shooting, killing seven and wounding seven others before killing himself.",9/15/99,Wednesday,"Wednesday, September 15, 1999",Larry Gene Ashbrook,1,47,47,Male,White American or European American,"9mm Ruger P85 semi-automatic pistol, .380 ACP AMT Backup semi-automatic pistol",Handgun,0,0,2,2,0,2,Deceased,Deceased,Suicide,No,Place of worship,Place of residency,Baptist Christians,Racial/Religious group,The shooter had apparently been shouting anti-Baptist remarks as he committed the shooting in the Baptist church,Political/Religious ideals,"Although the shooter never sought treatment for mental illness, he had a history of violence against his father as witnessed by neighbors and paranoid delusions as noted by several letters he had written to newspapers describing the conspiracy theories he believed revolved around him.",Yes
75,Xerox Office Building,"Honolulu, Hawaii",Honolulu,Hawaii,21.309106,-157.844998,7,0,0,0,7,7,"On November 2, 1999, a 40-year-old Xerox employee arrived to work at his office in Honolulu, Hawaii and began shooting his coworkers, killing seven before fleeing. He was later arrested in the mountains of Honolulu and was found to have been suffering from paranoid delusions and hallucinations from mental illness.",11/2/99,Tuesday,"Tuesday, November 02, 1999",Byran Uyesugi,1,40,40,Male,Asian American,9mm Glock 17 semi-automatic pistol,Handgun,0,0,1,1,0,1,Escaped,Custody,Not applicable,No,Company/Factory/Office,Place of business/employment,"Supervisors, coworkers",Colleague/Workmate/Business acquaintance,The shooter had been upset with management due to his paranoid delusions and had been reprimanded after wrongfully accusing other coworkers of work misconduct.,Multiple motives,"The shooter had been diagnosed with paranoid schizophrenia after the shooting, although prior to the incident, he had been experiencing paranoia, delusions and hallucinations but refused to see a psychiatrist.",Yes
76,Fort Gibson Middle School,"Fort Gibson, Oklahoma",Fort Gibson,Oklahoma,35.77669911,-95.25996596,0,4,0,0,0,4,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.",12/6/99,Monday,"Monday, December 06, 1999",Seth Trickey,1,13,13,Male,White American or European American,9mm semi-automatic handgun,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,Yes,Primary school,Place of schooling,Students,Students/Classmates/Teacher,No motive is known,Unknown,None,No
77,Radisson Bay Harbor Inn,"Tampa, Florida",Tampa,Florida,27.99601861,-82.44503769,5,3,0,0,5,8,"On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested.",12/30/99,Thursday,"Thursday, December 30, 1999",Silvio Izquierdo-Leyva,1,36,36,Male,Some other race,"9mm Lorcin semi-automatic pistol, .38 caliber Charter Arms semi-automatic pistol",Handgun,0,0,2,2,0,2,Custody,Custody,Not applicable,No,Retail/Wholesale/Services facility,Place of business/employment,Coworkers,Colleague/Workmate/Business acquaintance,No motive is known,Unknown,"The shooter did not have any history of treatment for mental illness, and his family, friends and coworkers described him as a normal, stable individual. He did, however, once pull a gun on his family member and was practicing a witchcraft-based religion.",No
78,Edgewater Technology,"Wakefield, Boston, Massachusetts",Boston,Massachusetts,42.30904091,-71.10271358,7,0,0,0,7,7,"On December 26, 2000, a 42-year-old computer technician at Edgewater Technology in Wakefield, Massachusetts entered his office and began shooting at managers and coworkers, killing seven before he was arrested. He claimed he was sent as a time-traveler to kill Nazis, and his insanity plea was denied.",12/26/00,Tuesday,"Tuesday, December 26, 2000",Michael McDermott,1,42,42,Male,Some other race," AK-47 variant, a 12 gauge shotgun, and a .32 caliber pistol. Police would later find a .460 caliber Weatherby Mark V rifle at the defendant's work station.",Multiple guns,1,1,1,3,0,1,Custody,Custody,Not applicable,No,Company/Factory/Office,Place of business/employment,"Supervisors, coworkers",Colleague/Workmate/Business acquaintance,The shooter was apparently being pursued for back taxes and the company complied with the IRS in withholding a portion of his wages.,Financial dispute,"Although the shooter claimed to have been sent by God to kill Hitler and the last Nazis, the shooter was evaluated by psychiatrists and his insanity plea was turned down.",No
79,Navistar International,"Melrose Park, Illinois",Melrose Park,Illinois,41.90289602,-87.8643021,5,4,0,0,6,9,"On February 5, 2001, a 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park, Illinois with firearms, forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.",2/5/01,Monday,"Monday, February 05, 2001",William D. Baker,1,66,66,Male,Black American or African American,".38 caliber revolver, 12 gauge Remington pump-action shotgun, .30 caliber Winchester hunting rifle, SKS 1954R rifle",Multiple guns,1,2,1,4,0,1,Deceased,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,"Supervisors, coworkers",Colleague/Workmate/Business acquaintance,"The shooter had been terminated from his position due to conspiring a theft of $195,400 in truck engines and parts and was seeking revenge.",Terminated/Denied/Reprimanded,None,No
80,Santana High School,"Santee, San Diego, California",San Diego,California,32.86357277,-117.1281628,2,13,0,0,2,15,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.",3/5/01,Monday,"Monday, March 05, 2001","Charles Andrew ""Andy"" Williams",1,15,15,Male,White American or European American,Arminius .22 caliber revolver,Handgun,0,0,1,1,0,0,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,Students,Students/Classmates/Teacher,"The shooter had been bullied by his fellow students and friends for being small and an easy target. He and his friend were planning a school shooting, though while his friends backed out, the shooter decided to move forward with the plan after he was threatened.",Harassment,None,No
81,Appalachian School of Law,"Grundy, Virginia",Grundy,Virginia,37.27537712,-82.09877234,3,3,0,0,3,6,"On January 16, 2002, a 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",1/16/02,Wednesday,"Wednesday, January 16, 2002",Peter Odighizuwa,1,43,43,Male,Black American or African American,.380 ACP semi-automatic handgun,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of schooling,"Dean, professors, students",Students/Classmates/Teacher,"The shooter had withdrawn from the university due to poor grades and, as he was being detained, claimed he had no place else to go.",Failure,"The shooter's defense attempted to present the shooter as incompetent to stand trial, but after being monitored and examined by psychiatrists over a period of three years, he was found to be stable and able to stand trial.",No
82,University of Arizona College of Nursing,"Tucson, Arizona",Tucson,Arizona,32.15358905,-110.9677647,3,0,0,0,4,3,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",10/28/02,Monday,"Monday, October 28, 2002","Robert Stewart Flores, Jr.",1,41,41,Male,Some other race,Five handguns,Handgun,0,0,5,5,0,1,Deceased,Deceased,Suicide,Yes,College/University/Adult education,Place of schooling,Professors,Students/Classmates/Teacher,The shooter had been failing out of his classes and decided to kill his professors,Failure,None,No
83,Case Western Reserve University,"Cleveland, Ohio",Cleveland,Ohio,41.47657557,-81.68051502,1,2,0,0,1,3,"On May 9, 2003, a graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.",5/9/03,Friday,"Friday, May 09, 2003",Biswanath Halder,1,62,62,Male,Asian American,"Cobray pistol, Ruger Pistol",Handgun,0,0,2,2,0,1,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of schooling,"Students, professor",Students/Classmates/Teacher,The shooter had attempted to sue an employer on campus but had lost the appeal in court prior to the shooting.,Legal dispute,None,No
84,Lockheed Martin,"Meridian, Mississippi",Meridian,Mississippi,32.38455246,-88.68967949,6,8,0,0,7,14,"On July 8, 2003, a 48-year-old factory worker at Lockheed Martin in Meridian, Mississippi was attending a diversity training workshop mandated by his employer before excusing himself. Minutes later, he returned to the meeting and began shooting at his coworkers, killing six and wounding eight more before killing himself. The shooting was thought to have been racially motivated.",7/8/03,Tuesday,"Tuesday, July 08, 2003",Doug Williams,1,48,48,Male,White American or European American,"Winchester 1200 shotgun, Ruger Mini-14 .223 caliber rifle",Multiple guns,1,1,0,2,0,1,Deceased,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Coworkers,Colleague/Workmate/Business acquaintance,"Initial reports touted the incident as being racially motivate due to the majority of those killed being black, and although the majority of the injured victims had been Caucasian, racism cannot be discounted as a possible motive as the shooter was known by many to be racist against blacks. The shooter had been suffering from depression prior to the incident as well.",Multiple motives,"Although the shooter did not seek treatment for mental illness, he was described by a cousin as being depressed and had issues with controlling his temper.",No
85,Windy City Core Supply Warehouse,"Chicago, Illinois",Chicago,Illinois,41.83928045,-87.68818145,6,0,0,0,7,6,"On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",8/27/03,Wednesday,"Wednesday, August 27, 2003",Salvador Tapia,1,36,36,Male,Some other race,Semi-automatic handgun,Handgun,0,0,1,1,0,1,Deceased,Deceased,Killed,No,Company/Factory/Office,Place of business/employment,"Supervisors, coworkers",Colleague/Workmate/Business acquaintance,"The shooter had been fired from his position due to consistent truancies and tardiness, as well as his being considered a nuisance at the workplace. He later began making threatening phone calls to his managers and killed the supervisors that fired him.",Terminated/Denied/Reprimanded,None,No
86,"Birchwood, Wisconsin","Birchwood, Wisconsin",Birchwood,Wisconsin,45.65773714,-91.55077175,6,2,0,0,6,8,"On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",11/21/04,Sunday,"Sunday, November 21, 2004",Chai Soua Vang,1,36,36,Male,Asian American,SKS 7.62mm semi-automatic assault rifle,Rifle,0,1,0,1,0,1,Custody,Custody,Not applicable,No,Park/Wildness,Place of recreation,Hunters,Social,"The shooter had been on unmarked, private property during a hunting session with companions when his hunting party was confronted by a group of hunters telling him to get off the property.",Social dispute,None,No
